name,factor,ext_scale,noise_cv,inh_scale,tau_scale,ee_scale,returncode,elapsed_s,log,summary,levy_like_transition,winner_switches,center_win_fraction,corner_win_fraction,first_center_win_ms,first_corner_win_ms,mean_rate_hz,total_spikes
baseline,baseline,1.000000,0.000000,1.000000,1.000000,1.000000,0,751.579,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/baseline.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/baseline/infer_summary.txt,no,0,0.490849,0.509151,4072.600,4000.000,4.498488,178545
ee_1p50,ee,1.000000,0.000000,1.000000,1.000000,1.500000,0,749.558,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ee_1p50.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ee_1p50/infer_summary.txt,no,0,0.000000,0.000000,nan,nan,1.299118,51562
ee_2p00,ee,1.000000,0.000000,1.000000,1.000000,2.000000,0,749.290,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ee_2p00.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ee_2p00/infer_summary.txt,no,0,0.000000,0.000000,nan,nan,0.066138,2625
ee_3p00,ee,1.000000,0.000000,1.000000,1.000000,3.000000,0,756.457,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ee_3p00.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ee_3p00/infer_summary.txt,no,0,0.000000,1.000000,nan,4001.800,250.000000,9922500
ee_4p00,ee,1.000000,0.000000,1.000000,1.000000,4.000000,0,456.252,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ee_4p00.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ee_4p00/infer_summary.txt,no,0,0.000000,1.000000,nan,4001.600,250.000000,9922500
ext_0p80,ext,0.800000,0.000000,1.000000,1.000000,1.000000,0,751.795,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ext_0p80.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ext_0p80/infer_summary.txt,no,0,0.487674,0.512326,4012.100,4000.000,3.506450,139171
ext_1p20,ext,1.200000,0.000000,1.000000,1.000000,1.000000,0,751.734,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ext_1p20.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ext_1p20/infer_summary.txt,no,0,0.479807,0.520193,4021.800,4054.600,6.044520,239907
ext_1p50,ext,1.500000,0.000000,1.000000,1.000000,1.000000,0,751.669,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ext_1p50.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ext_1p50/infer_summary.txt,no,0,0.475562,0.524438,4124.900,4000.000,8.250642,327468
ext_2p00,ext,2.000000,0.000000,1.000000,1.000000,1.000000,0,754.835,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/ext_2p00.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/ext_2p00/infer_summary.txt,no,0,0.000000,0.000000,nan,nan,0.080020,3176
inh_0p50,inh,1.000000,0.000000,0.500000,1.000000,1.000000,0,750.695,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/logs/inh_0p50.log,/home/wangxukang/mice_visual_lab/spikenet_btorch_demo/static_gaussian/scan_model0_sweep2/inh_0p50/infer_summary.txt,no,24,0.467948,0.532052,4190.000,4000.000,9.816276,389608
